Fecha;Hora;"Gx Eólica
[MW]";"Gx. Geotérmica
[MW]";"Gx Hidráulica Pasada
[MW]";"Gx Hidráulica Embalse
[MW]";"Gx Solar
[MW]"
10-09-2020;6;1244,551779;21,681;291,9837981;1575,1651;0
10-09-2020;7;1229,079447;23,9618;300,0777535;1700,38568;0
10-09-2020;8;1325,477768;24,0832;314,4426273;1748,77006;27,23186723
10-09-2020;9;1407,294482;15,6834;329,6888395;1690,6514;567,988269
10-09-2020;10;1357,920936;20,1558;337,540532;1551,7858;1580,16154
10-09-2020;11;1292,126794;15,1562;337,7058437;1615,21214;1994,129381
10-09-2020;12;1302,808724;14,7828;337,1559611;1499,46222;2246,536966
10-09-2020;13;1205,474009;14,7752;341,0767719;1525,85644;2339,702298
10-09-2020;14;1079,24339;14,651;338,8637668;1626,23558;2333,935317
10-09-2020;15;1193,501217;14,573;340,9472139;1502,92678;2276,790457
10-09-2020;16;1281,00728;15,2099;342,7097965;1528,01784;2132,517537
10-09-2020;17;1165,427886;10,1016;339,7605043;1706,69416;1925,1496
10-09-2020;18;1310,644083;15,5003;336,8596025;1458,0666;1809,440119
10-09-2020;19;1311,776507;16,3574;348,5963924;1878,95502;884,9966911
10-09-2020;20;1301,502844;20,8814;349,1523001;2166,80486;38,43388529
10-09-2020;21;1300,500355;28,6419;355,9442543;2325,99278;0
10-09-2020;22;1200,603088;28,5147;360,4117214;2452,5608;0
10-09-2020;23;1199,416836;23,2181;354,989301;2391,08378;0
10-09-2020;24;1108,842325;25,2116;358,4570837;2322,42216;0
11-09-2020;1;925,0654959;28,9562;350,4643356;2368,74134;0
11-09-2020;2;865,1286697;29,5625;345,6915004;2240,95508;0
11-09-2020;3;914,5099461;29,4408;343,661542;2060,68958;0
11-09-2020;4;881,9347236;29,5331;317,6682577;2129,2744;0
11-09-2020;5;777,6881673;28,9291;312,5750236;2238,51184;0
11-09-2020;6;745,2259291;29,2769;314,5110139;2164,8032;0
11-09-2020;7;748,6843527;29,3484;321,589533;2072,04762;0,113321804
11-09-2020;8;714,4541498;28,3744;323,6851895;2263,88342;28,97210556
11-09-2020;9;591,6855568;28,9801;326,3020073;2154,35048;610,4747632
11-09-2020;10;469,2366351;27,6956;318,8017677;2028,14284;1651,021026
11-09-2020;11;437,6111537;27,037;318,7331848;2079,367;2275,007064
11-09-2020;12;618,9069831;26,4089;303,1168116;1814,37712;2452,119858
11-09-2020;13;794,0427245;25,5777;300,6168962;1790,43592;2557,895708
11-09-2020;14;895,3760935;25,5515;308,5401759;1831,57348;2587,968076
11-09-2020;15;918,155482;25,4715;315,5634986;1786,50434;2589,440454
11-09-2020;16;893,087212;26,0977;315,8176238;1784,3906;2541,179104
11-09-2020;17;1045,100506;26,4278;315,5845259;1730,6153;2412,140068
11-09-2020;18;1041,378631;26,8594;316,7561369;1812,742;2046,421978
11-09-2020;19;994,5842526;27,1854;326,023816;2050,31006;1005,268134
11-09-2020;20;959,9995002;28,0629;332,3080638;2638,9595;50,2225274
11-09-2020;21;985,6142411;28,3422;332,1889262;2753,96972;0
11-09-2020;22;960,5182497;28,5934;345,7272549;2649,6632;0
11-09-2020;23;979,7834369;28,561;346,8861747;2481,55452;0
11-09-2020;24;871,1210238;28,9681;347,008734;2183,31418;0
12-09-2020;1;811,4143778;27,4651;347,5372235;2117,40692;0
12-09-2020;2;720,2752807;29,2943;340,4641639;2110,46902;0
12-09-2020;3;739,3344248;29,0231;337,5725783;2099,6262;0
12-09-2020;4;843,2387532;28,9472;325,2903761;2069,08734;0
12-09-2020;5;908,3939398;28,7247;326,7867254;1895,63212;0
12-09-2020;6;865,0146288;28,7464;326,421461;1652,78898;0
