Fecha;Hora;"Demanda
[MW]"
29-09-2020;9;8876
29-09-2020;10;9455
29-09-2020;11;9710
29-09-2020;12;9797
29-09-2020;13;9759
29-09-2020;14;9688
29-09-2020;15;9636
29-09-2020;16;9530
29-09-2020;17;9401
29-09-2020;18;9138
29-09-2020;19;8902
29-09-2020;20;9218
29-09-2020;21;9824
29-09-2020;22;9723
29-09-2020;23;9359
29-09-2020;24;8968
30-09-2020;1;8564
30-09-2020;2;8132
30-09-2020;3;7884
30-09-2020;4;7695
30-09-2020;5;7668
30-09-2020;6;7765
30-09-2020;7;7945
30-09-2020;8;8216
30-09-2020;9;8750
30-09-2020;10;9239
30-09-2020;11;9374
30-09-2020;12;9328
30-09-2020;13;9180
30-09-2020;14;9125
30-09-2020;15;9084
30-09-2020;16;9017
30-09-2020;17;8894
30-09-2020;18;8710
30-09-2020;19;8513
30-09-2020;20;8842
30-09-2020;21;9355
30-09-2020;22;9353
30-09-2020;23;8974
30-09-2020;24;8706
01-10-2020;1;8347
01-10-2020;2;7938
01-10-2020;3;7634
01-10-2020;4;7589
01-10-2020;5;7532
01-10-2020;6;7643
01-10-2020;7;7874
01-10-2020;8;8223
01-10-2020;9;8761
01-10-2020;10;9224
01-10-2020;11;9369
01-10-2020;12;9393
01-10-2020;13;9322
01-10-2020;14;9306
01-10-2020;15;9312
01-10-2020;16;9214
01-10-2020;17;9074
01-10-2020;18;8869
01-10-2020;19;8802
01-10-2020;20;9015
01-10-2020;21;9633
01-10-2020;22;9681
01-10-2020;23;9247
01-10-2020;24;8971
02-10-2020;1;8560
02-10-2020;2;8140
02-10-2020;3;7835
02-10-2020;4;7666
02-10-2020;5;7674
02-10-2020;6;7728
02-10-2020;7;7959
02-10-2020;8;8244
02-10-2020;9;8764
02-10-2020;10;9235
02-10-2020;11;9341
02-10-2020;12;9443
02-10-2020;13;9453
02-10-2020;14;9445
02-10-2020;15;9446
02-10-2020;16;9313
02-10-2020;17;9105
02-10-2020;18;8834
02-10-2020;19;8691
02-10-2020;20;9022
02-10-2020;21;9618
02-10-2020;22;9642
02-10-2020;23;9402
02-10-2020;24;9000
03-10-2020;1;8753
03-10-2020;2;8308
03-10-2020;3;7983
03-10-2020;4;7817
03-10-2020;5;7794
03-10-2020;6;7794
03-10-2020;7;7852
03-10-2020;8;7850
03-10-2020;9;8055
03-10-2020;10;8428
03-10-2020;11;8703
03-10-2020;12;8807
03-10-2020;13;8890
03-10-2020;14;8882
03-10-2020;15;8802
03-10-2020;16;8640
03-10-2020;17;8526
03-10-2020;18;8470
03-10-2020;19;8387
03-10-2020;20;8727
03-10-2020;21;9411
03-10-2020;22;9441
03-10-2020;23;9149
03-10-2020;24;8834
04-10-2020;1;8373
04-10-2020;2;7940
04-10-2020;3;7642
04-10-2020;4;7448
04-10-2020;5;7353
04-10-2020;6;7347
04-10-2020;7;7388
04-10-2020;8;7292
04-10-2020;9;7319
