EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";COMENTARIOS
COLBÚN;NEHUENCO;NEHUENCO 1 TG+TV;Gas Natural;326,97;72,32487756;La turbina a vapor TV opera sólo si las turbinas a gas TG de Nehuenco 1 opera simultáneamente
COLBÚN;NEHUENCO;NEHUENCO 1 TG;Gas Natural;214,99;106,0883568;
COLBÚN;LOS PINOS;LOS PINOS;Diesel;106,41;132,7591193;
COLBÚN;CANDELARIA;CANDELARIA 2;Gas Natural;123,79;177,0136033;
COLBÚN;CANDELARIA;CANDELARIA 1;Gas Natural;124,11;182,7775915;
COCHRANE;COCHRANE;COCHRANE 2;Carbón;244,86;41,40008503;
COCHRANE;COCHRANE;COCHRANE 1;Carbón;244,74;41,40008503;
Central Yungay;YUNGAY;YUNGAY U4;Diesel;36,60;311,4789364;
Central Yungay;YUNGAY;YUNGAY U3;Diesel;54,16;256,7337662;
Central Yungay;YUNGAY;YUNGAY U2;Diesel;54,56;237,9427339;
Central Yungay;YUNGAY;YUNGAY U1;Diesel;52,26;261,8585932;
Central Colmito ;COLMITO;COLMITO;Gas Natural;57,87;74,92085371;
CENTRAL CARDONES;CARDONES;CARDONES;Diesel;154,17;204,8309108;
CEMENTOS BIO BIO;CBB-CENTRO;CEMENTOS BIOBIO;Fuel Oil Nro. 6;13,53;165,6505989;
BARRICK GENERACIÓN;PUNTA_COLORADA;PUNTA COLORADA;Fuel Oil Nro. 6;16,61;152,7161011;
ARAUCO BIOENERGÍA;NUEVA_ALDEA_2;NUEVA ALDEA 2;Diesel;10,00;209,2640301;
ARAUCO BIOENERGÍA;HORCONES TG;HORCONES;Diesel;24,30;247,4014572;
ANGAMOS;TERMOELÉCTRICA ANGAMOS;ANGAMOS 2;Carbón;252,98;43,57604401;
ANGAMOS;TERMOELÉCTRICA ANGAMOS;ANGAMOS 1;Carbón;248,58;43,58480257;
ANDINA;TERMOELÉCTRICA ANDINA;ANDINA;Carbón;160,80;53,2468474;
ANDES GENERACION;ANDES GENERACIÓN;ANDES U4;Fuel Oil Nro. 6;12,76;159,3582669;
ANDES GENERACION;ANDES GENERACIÓN;ANDES U3;Fuel Oil Nro. 6;7,20;153,6809445;
ANDES GENERACION;ANDES GENERACIÓN;ANDES U2;Fuel Oil Nro. 6;7,14;155,9518735;
ANDES GENERACION;ANDES GENERACIÓN;ANDES U1;Fuel Oil Nro. 6;7,08;155,9518735;
AES GENER;TERMOELÉCTRICA VENTANAS;VENTANAS 2;Carbón;193,46;40,71548562;
AES GENER;TERMOELÉCTRICA VENTANAS;VENTANAS 1;Carbón;105,70;46,09575109;
AES GENER;TERMOELÉCTRICA VENTANAS;NUEVA VENTANAS;Carbón;243,09;47,51128856;
AES GENER;TERMOELÉCTRICA NORGENER;NUEVA TOCOPILLA 2;Carbón;131,87;50,24360375;
AES GENER;TERMOELÉCTRICA NORGENER;NUEVA TOCOPILLA 1;Carbón;130,42;51,42873977;
