EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";COMENTARIOS;EMPRESA;CENTRAL;UNIDAD;COMBUSTIBLE;"POTENCIA NOMINAL
[MW]";"COSTO VARIABLE
[USD/MWh]";"FACTOR EMISIONES 
(ton CO2/MWh)";COMBUSTIBLE;"FACTOR EMISIONES 
(ton CO2/MWh)";;
ENORCHILE;UJINA;UJINA U6;Fuel Oil Nro. 6;8,70;124,7061015;;ENORCHILE;UJINA;UJINA U6;Fuel Oil Nro. 6;8,70;124,7061015;9,45494319;;;;
ENORCHILE;UJINA;UJINA U5;Fuel Oil Nro. 6;8,70;126,871397;;ENORCHILE;UJINA;UJINA U5;Fuel Oil Nro. 6;8,70;126,871397;9,45494319;;;;
ENORCHILE;UJINA;UJINA U4;Fuel Oil Nro. 6;6,62;143,7213444;;ENORCHILE;UJINA;UJINA U4;Fuel Oil Nro. 6;6,62;143,7213444;7,198257;;;;
ENORCHILE;UJINA;UJINA U3;Fuel Oil Nro. 6;6,59;134,4415064;;ENORCHILE;UJINA;UJINA U3;Fuel Oil Nro. 6;6,59;134,4415064;7,1656365;;;;
ENORCHILE;UJINA;UJINA U2;Diesel;6,82;185,2392516;;ENORCHILE;UJINA;UJINA U2;Diesel;6,82;185,2392516;6,7417746;;;;
ENORCHILE;UJINA;UJINA U1;Fuel Oil Nro. 6;6,71;133,5650772;;ENORCHILE;UJINA;UJINA U1;Fuel Oil Nro. 6;6,71;133,5650772;7,2961185;;;;
ENORCHILE;DIESEL MANTOS BLANCOS;MANTOS BLANCOS;Diesel;27,92;206,1741565;;ENORCHILE;DIESEL MANTOS BLANCOS;MANTOS BLANCOS;Diesel;27,92;206,1741565;27,5997576;;;;
ENORCHILE;ESPERANZA;ESPERANZA TG1;Diesel;18,61;288,0629307;;ENORCHILE;ESPERANZA;ESPERANZA TG1;Diesel;18,61;288,0629307;18,39852036;;;;
ENORCHILE;ESPERANZA;ESPERANZA DS2;Diesel;1,79;207,8463842;;ENORCHILE;ESPERANZA;ESPERANZA DS2;Diesel;1,79;207,8463842;1,77045723;;;;
ENORCHILE;ESPERANZA;ESPERANZA DS1;Diesel;1,59;212,8078218;;ENORCHILE;ESPERANZA;ESPERANZA DS1;Diesel;1,59;212,8078218;1,575420261;;;;
ENORCHILE;COLIHUES;COLIHUES U2;Fuel Oil Nro. 6;10,59;122,7579299;;ENORCHILE;COLIHUES;COLIHUES U2;Fuel Oil Nro. 6;10,59;122,7579299;11,51231813;;;;
ENORCHILE;COLIHUES;COLIHUES U1;Fuel Oil Nro. 6;10,59;122,7579299;;ENORCHILE;COLIHUES;COLIHUES U1;Fuel Oil Nro. 6;10,59;122,7579299;11,51231813;;;;
ENLASA;TRAPEN;TRAPEN;Diesel;1,62;203,7622166;;ENLASA;TRAPEN;TRAPEN;Diesel;1,62;203,7622166;1,598255304;;;;
ENLASA;TENO;TENO;Diesel;58,88;193,4022976;;ENLASA;TENO;TENO;Diesel;58,88;193,4022976;58,20662346;;;;
ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U3;Diesel;2,15;228,5607622;;ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U3;Diesel;2,15;228,5607622;2,1253395;;;;
ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U2;Diesel;2,16;294,9352732;;ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U2;Diesel;2,16;294,9352732;2,1352248;;;;
ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U1;Diesel;2,19;267,5954349;;ENLASA;SAN LORENZO DE D. DE ALMAGRO;SAN LORENZO U1;Diesel;2,19;267,5954349;2,1648807;;;;
ENLASA;EL PEÑON;EL PENON;Diesel;80,84;208,5495849;;ENLASA;EL PEÑON;EL PENON;Diesel;80,84;208,5495849;79,91078814;;;;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U16;Gas Natural;351,52;87,22084664;;ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U16;Gas Natural;351,52;87,22084664;253,44592;;;;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U15;Carbón;124,06;65,63502092;;ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U15;Carbón;124,06;65,63502092;114,1674556;;;;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U14;Carbón;127,67;69,76770285;;ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA U14;Carbón;127,67;69,76770285;117,4895942;;;;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG3;Gas Natural;36,10;99,1323548;;ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG3;Gas Natural;36,10;99,1323548;26,0281;;;;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG2;Diesel;20,42;258,7003693;;ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG2;Diesel;20,42;258,7003693;20,18874819;;;;
ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG1;Diesel;20,42;258,7003693;;ENGIE;TERMOELÉCTRICA TOCOPILLA;TOCOPILLA TG1;Diesel;20,42;258,7003693;20,18874819;;;;
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG + TV;Gas Natural;240,97;66,92742975;La turbina a vapor TV opera sólo si la TG está encendida, pero no es obligatoria su operación;ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG + TV;Gas Natural;240,97;107,7242892;173,740091;;;;
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 3 TG;Gas Natural;156,35;40,79685943;La turbina a gas TG puede operar sola;ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 2;Carbón;156,61;53,81281972;144,1182376;;;;
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 2;Carbón;156,61;53,81281972;;ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 1;Carbón;146,51;54,80250432;134,8272926;;;;
ENGIE;TERMOELÉCTRICA MEJILLONES;MEJILLONES 1;Carbón;146,51;54,80250432;;ENGIE;DIÉSEL ARICA;ARICA M2;Diesel;2,12;177,0808126;2,09864919;;;;
ENGIE;DIÉSEL ARICA;ARICA M2;Diesel;2,12;177,0808126;;ENGIE;DIÉSEL ARICA;ARICA M1;Diesel;2,48;178,8618097;2,450605411;;;;
ENGIE;DIÉSEL ARICA;ARICA M1;Diesel;2,48;178,8618097;;ENGIE;DIÉSEL ARICA;ARICA GM;Diesel;8,61;179,7714523;8,508880713;;;;
ENGIE;DIÉSEL ARICA;ARICA GM;Diesel;8,61;179,7714523;;ENEL GENERACION;TARAPACA TG;TARAPACA TG DIE;Diesel;20,02;261,3440538;19,79234766;;;;
ENEL GENERACION;TARAPACA TG;TARAPACA TG DIE;Diesel;20,02;261,3440538;;ENEL GENERACION;TALTAL;TALTAL 2;Gas Natural;121,32;97,37194859;87,473883;;;;
ENEL GENERACION;TALTAL;TALTAL 2;Gas Natural;121,32;97,37194859;;ENEL GENERACION;TALTAL;TALTAL 1;Gas Natural;118,07;97,37194859;85,124865;;;;
ENEL GENERACION;TALTAL;TALTAL 1;Gas Natural;118,07;97,37194859;;ENEL GENERACION;SAN_ISIDRO_2;SAN ISIDRO 2 TG+TV;Gas Natural;395,86;153,3078326;285,417223;;;;
ENEL GENERACION;SAN_ISIDRO_2;SAN ISIDRO 2 TG+TV;Gas Natural;395,86;62,35802562;La turbina a vapor TV opera sólo si la TG está encendida, pero no es obligatoria su operación;ENEL GENERACION;SAN_ISIDRO;SAN ISIDRO TG+TV;Gas Natural;408,70;156,7806749;294,6727;;;;
ENEL GENERACION;SAN_ISIDRO_2;SAN ISIDRO 2 TG;Gas Natural;257,31;90,94980699;;ENEL GENERACION;QUINTERO;QUINTERO 1B;Gas Natural;128,10;101,4190449;92,357937;;;;
ENEL GENERACION;SAN_ISIDRO;SAN ISIDRO TG+TV;Gas Natural;408,70;63,03494781;La turbina a vapor TV opera sólo si la TG está encendida, pero no es obligatoria su operación;ENEL GENERACION;QUINTERO;QUINTERO 1A;Gas Natural;127,10;101,4190449;91,641984;;;;
ENEL GENERACION;SAN_ISIDRO;SAN ISIDRO TG;Gas Natural;250,00;93,74572706;;ENEL GENERACION;HUASCO TG;HUASCO TG U3;Fuel Oil Nro. 6;19,23;225,6122094;20,90647845;;;;
ENEL GENERACION;QUINTERO;QUINTERO 1B;Gas Natural;128,10;101,4190449;;ENEL GENERACION;HUASCO TG;HUASCO TG U4;Fuel Oil Nro. 6;19,23;225,6122094;20,90647845;;;;
ENEL GENERACION;QUINTERO;QUINTERO 1A;Gas Natural;127,10;101,4190449;;ENEL GENERACION;HUASCO TG;HUASCO TG U5;Fuel Oil Nro. 6;19,23;225,6122094;20,90647845;;;;
ENEL GENERACION;HUASCO TG;HUASCO TG U3;Fuel Oil Nro. 6;19,23;225,6122094;;ENEL GENERACION;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO;Diesel;23,6691;240,8805507;23,39761542;;;;
ENEL GENERACION;HUASCO TG;HUASCO TG U4;Fuel Oil Nro. 6;19,23;225,6122094;;ENEL GENERACION;TERMOELÉCTRICA BOCAMINA;BOCAMINA 2;Carbón;319,79;52,83995554;294,2899454;;;;
ENEL GENERACION;HUASCO TG;HUASCO TG U5;Fuel Oil Nro. 6;19,23;225,6122094;;ENEL GENERACION;ATACAMA;TG2A+TG2B+TV2;Gas Natural;364,41;359,3214302;262,73961;;;;
ENEL GENERACION;DIEGO DE ALMAGRO;DIEGO DE ALMAGRO;Diesel;23,6691;240,8805507;;ENEL GENERACION;ATACAMA;TG1A+TG1B+TV1;Gas Natural;363,58;363,3214302;262,14118;;;;
ENEL GENERACION;TERMOELÉCTRICA BOCAMINA;BOCAMINA 2;Carbón;319,79;52,83995554;;EMELDA;EMELDA;EMELDA U2;Diesel;35,15;330,0981636;34,74584097;;;;
ENEL GENERACION;ATACAMA;TG2B;Gas Natural;114,70;148,9360327;;EMELDA;EMELDA;EMELDA U1;Diesel;36,24;314,9122618;35,82729279;;;;
ENEL GENERACION;ATACAMA;TG2A+TG2B+TV2;Gas Natural;364,41;67,03564064;La turbina a vapor TV2 opera sólo si las turbinas a gas TG2A y TG2B operan simultáneamente;ELEKTRAGEN;MAULE;MAULE;Diesel;6,00;245,2961725;5,93118;;;;
ENEL GENERACION;ATACAMA;TG2A;Gas Natural;114,41;143,3497569;;ELEKTRAGEN;CONSTITUCION 1;CONSTITUCION 1;Diesel;9,00;245,2961725;8,89677;;;;
ENEL GENERACION;ATACAMA;TG1B;Gas Natural;114,70;148,9360327;;ELEKTRAGEN;CHILOE;CHILOE;Diesel;9,06;193,148924;8,95212768;;;;
ENEL GENERACION;ATACAMA;TG1A+TG1B+TV1;Gas Natural;363,58;67,03564064;La turbina a vapor TV1 opera sólo si las turbinas a gas TG1A y TG1B operan simultáneamente;ELÉCTRICA CAMPICHE;TERMOELÉCTRICA VENTANAS;CAMPICHE;Carbón;248,59;49,41267081;228,7674334;;;;
ENEL GENERACION;ATACAMA;TG1A;Gas Natural;113,58;147,3497569;;COLBÚN;SANTA_MARIA;SANTA MARIA;Carbón;344,52;34,40460784;317,0479752;;;;
EMELDA;EMELDA;EMELDA U2;Diesel;35,15;330,0981636;;COLBÚN;NEHUENCO;NEHUENCO 9B;Gas Natural;106,92;116,691794;77,08932;;;;
EMELDA;EMELDA;EMELDA U1;Diesel;36,24;314,9122618;;COLBÚN;NEHUENCO;NEHUENCO 2 TG+TV;Gas Natural;387,37;173,9581802;279,296654;;;;
ELEKTRAGEN;MAULE;MAULE;Diesel;6,00;245,2961725;;COLBÚN;NEHUENCO;NEHUENCO 1 TG+TV;Gas Natural;326,97;178,4132343;235,74537;;;;
ELEKTRAGEN;CONSTITUCION 1;CONSTITUCION 1;Diesel;9,00;245,2961725;;COLBÚN;LOS PINOS;LOS PINOS;Diesel;106,41;132,7591193;105,1894773;;;;
ELEKTRAGEN;CHILOE;CHILOE;Diesel;9,06;193,148924;;COLBÚN;CANDELARIA;CANDELARIA 2;Gas Natural;123,79;177,0136033;89,25259;;;;
ELÉCTRICA CAMPICHE;TERMOELÉCTRICA VENTANAS;CAMPICHE;Carbón;248,59;49,41267081;;COLBÚN;CANDELARIA;CANDELARIA 1;Gas Natural;124,11;182,7775915;89,48331;;;;
COLBÚN;SANTA_MARIA;SANTA MARIA;Carbón;344,52;34,40460784;;COCHRANE;COCHRANE;COCHRANE 2;Carbón;244,86;41,40008503;225,3348636;;;;
COLBÚN;NEHUENCO;NEHUENCO 9B;Gas Natural;106,92;116,691794;;COCHRANE;COCHRANE;COCHRANE 1;Carbón;244,74;41,40008503;225,2271932;;;;
COLBÚN;NEHUENCO;NEHUENCO 2 TG+TV;Gas Natural;387,37;71,24746723;La turbina a vapor TV opera sólo si las turbinas a gas TG de Nehuenco 2 opera simultáneamente;Central Yungay;YUNGAY;YUNGAY U4;Diesel;36,60;311,4789364;36,180198;;;;
COLBÚN;NEHUENCO;NEHUENCO 2 TG;Gas Natural;242,04;102,7107129;;Central Yungay;YUNGAY;YUNGAY U3;Diesel;54,16;256,7337662;53,5387848;;;;
COLBÚN;NEHUENCO;NEHUENCO 1 TG+TV;Gas Natural;326,97;72,32487756;La turbina a vapor TV opera sólo si las turbinas a gas TG de Nehuenco 1 opera simultáneamente;Central Yungay;YUNGAY;YUNGAY U2;Diesel;54,56;237,9427339;53,9341968;;;;
COLBÚN;NEHUENCO;NEHUENCO 1 TG;Gas Natural;214,99;106,0883568;;Central Yungay;YUNGAY;YUNGAY U1;Diesel;52,26;261,8585932;51,6605778;;;;
COLBÚN;LOS PINOS;LOS PINOS;Diesel;106,41;132,7591193;;Central Colmito ;COLMITO;COLMITO;Gas Natural;57,87;74,92085371;41,727154;;;;
COLBÚN;CANDELARIA;CANDELARIA 2;Gas Natural;123,79;177,0136033;;CENTRAL CARDONES;CARDONES;CARDONES;Diesel;154,17;204,8309108;152,4056242;;;;
COLBÚN;CANDELARIA;CANDELARIA 1;Gas Natural;124,11;182,7775915;;CEMENTOS BIO BIO;CBB-CENTRO;CEMENTOS BIOBIO;Fuel Oil Nro. 6;13,53;165,6505989;14,7140202;;;;
COCHRANE;COCHRANE;COCHRANE 2;Carbón;244,86;41,40008503;;BARRICK GENERACIÓN;PUNTA_COLORADA;PUNTA COLORADA;Fuel Oil Nro. 6;16,61;152,7161011;18,05979615;;;;
COCHRANE;COCHRANE;COCHRANE 1;Carbón;244,74;41,40008503;;ARAUCO BIOENERGÍA;NUEVA_ALDEA_2;NUEVA ALDEA 2;Diesel;10,00;209,2640301;9,8853;;;;
Central Yungay;YUNGAY;YUNGAY U4;Diesel;36,60;311,4789364;;ARAUCO BIOENERGÍA;HORCONES TG;HORCONES;Diesel;24,30;247,4014572;24,021279;;;;
Central Yungay;YUNGAY;YUNGAY U3;Diesel;54,16;256,7337662;;ANGAMOS;TERMOELÉCTRICA ANGAMOS;ANGAMOS 2;Carbón;252,98;43,57604401;232,8027735;;;;
Central Yungay;YUNGAY;YUNGAY U2;Diesel;54,56;237,9427339;;ANGAMOS;TERMOELÉCTRICA ANGAMOS;ANGAMOS 1;Carbón;248,58;43,58480257;228,7536295;;;;
Central Yungay;YUNGAY;YUNGAY U1;Diesel;52,26;261,8585932;;ANDINA;TERMOELÉCTRICA ANDINA;ANDINA;Carbón;160,80;53,2468474;147,977808;;;;
Central Colmito ;COLMITO;COLMITO;Gas Natural;57,87;74,92085371;;ANDES GENERACION;ANDES GENERACIÓN;ANDES U4;Fuel Oil Nro. 6;12,76;159,3582669;13,87784805;;;;
CENTRAL CARDONES;CARDONES;CARDONES;Diesel;154,17;204,8309108;;ANDES GENERACION;ANDES GENERACIÓN;ANDES U3;Fuel Oil Nro. 6;7,20;153,6809445;7,82783265;;;;
CEMENTOS BIO BIO;CBB-CENTRO;CEMENTOS BIOBIO;Fuel Oil Nro. 6;13,53;165,6505989;;ANDES GENERACION;ANDES GENERACIÓN;ANDES U2;Fuel Oil Nro. 6;7,14;155,9518735;7,7680284;;;;
BARRICK GENERACIÓN;PUNTA_COLORADA;PUNTA COLORADA;Fuel Oil Nro. 6;16,61;152,7161011;;ANDES GENERACION;ANDES GENERACIÓN;ANDES U1;Fuel Oil Nro. 6;7,08;155,9518735;7,6940886;;;;
ARAUCO BIOENERGÍA;NUEVA_ALDEA_2;NUEVA ALDEA 2;Diesel;10,00;209,2640301;;AES GENER;TERMOELÉCTRICA VENTANAS;VENTANAS 2;Carbón;193,46;40,71548562;178,0325793;;;;
ARAUCO BIOENERGÍA;HORCONES TG;HORCONES;Diesel;24,30;247,4014572;;AES GENER;TERMOELÉCTRICA VENTANAS;VENTANAS 1;Carbón;105,70;46,09575109;97,27240226;;;;
ANGAMOS;TERMOELÉCTRICA ANGAMOS;ANGAMOS 2;Carbón;252,98;43,57604401;;AES GENER;TERMOELÉCTRICA VENTANAS;NUEVA VENTANAS;Carbón;243,09;47,51128856;223,7087642;;;;
ANGAMOS;TERMOELÉCTRICA ANGAMOS;ANGAMOS 1;Carbón;248,58;43,58480257;;AES GENER;TERMOELÉCTRICA NORGENER;NUEVA TOCOPILLA 2;Carbón;131,87;50,24360375;121,3546862;;;;
ANDINA;TERMOELÉCTRICA ANDINA;ANDINA;Carbón;160,80;53,2468474;;AES GENER;TERMOELÉCTRICA NORGENER;NUEVA TOCOPILLA 1;Carbón;130,42;51,42873977;120,0193889;;;;
ANDES GENERACION;ANDES GENERACIÓN;ANDES U4;Fuel Oil Nro. 6;12,76;159,3582669;;;;;;;;;;;;
ANDES GENERACION;ANDES GENERACIÓN;ANDES U3;Fuel Oil Nro. 6;7,20;153,6809445;;;;;;;;;;;;
